09283: Eksport av fisk, etter land, statistikkvariabel, år og varegruppe;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
land;Verdi (mill. kr) 2022 Fisk, krepsdyr og bløtdyr i alt;Verdi (mill. kr) 2022 Laks;Verdi (mill. kr) 2022 Torsk;Verdi (mill. kr) 2022 Sild;Verdi (mill. kr) 2022 Makrell;Verdi (mill. kr) 2022 Sei;Verdi (mill. kr) 2022 Ørret;Verdi (mill. kr) 2022 Hyse;Verdi (mill. kr) 2022 Lange;Verdi (mill. kr) 2022 Brosme;Verdi (mill. kr) 2022 Uer;Verdi (mill. kr) 2022 Kveite;Verdi (mill. kr) 2022 Annen fisk;Verdi (mill. kr) 2022 Reker;Verdi (mill. kr) 2022 Andre skalldyr/bløtdyr
Albania;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Belarus;274;19;0;96;61;0;80;0;0;0;0;0;18;:;0
Belgia;957;871;9;0;0;3;35;1;1;1;1;0;10;:;25
Bosnia-Hercegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Bulgaria;86;33;12;3;32;0;0;0;0;0;0;0;0;:;6
Danmark;12049;8536;1789;240;21;313;53;234;19;0;48;145;364;:;287
Estland;469;360;0;7;5;0;71;0;0;0;2;3;2;:;18
Finland;2208;1960;12;8;0;11;83;0;2;0;2;0;13;:;117
Frankrike;10553;9866;205;91;17;54;119;15;16;1;1;5;32;:;131
Færøyene;120;3;34;0;32;28;0;0;0;0;0;0;23;:;0
Gibraltar;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Guernsey (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Hellas;473;329;64;8;2;0;3;0;49;1;2;0;10;:;6
Irland;538;336;38;0;0;13;0;2;0;0;0;0;147;:;2
Island;336;0;1;5;0;4;0;1;0;0;2;0;84;:;239
Isle of Man (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Italia;6472;5755;605;1;20;2;4;0;34;10;0;0;12;:;29
Jersey (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Jugoslavia (-2003);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kanariøyene;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Kosovo (2009-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Kroatia;77;4;55;16;0;0;0;0;0;0;0;0;2;:;0
Kypros;42;39;0;0;1;0;2;0;0;0;0;0;0;:;0
Latvia;638;306;208;35;29;4;13;16;0;0;3;6;8;:;8
Liechtenstein;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Litauen;4563;2950;223;471;157;295;355;9;0;0;40;9;40;:;14
Luxembourg;19;16;2;0;0;0;0;0;0;0;0;0;0;:;1
Malta;6;0;0;5;0;1;0;0;0;0;0;0;0;:;0
Moldova;22;3;0;7;8;0;0;0;0;0;0;0;2;:;1
Monaco;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Montenegro (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Nederland;9252;7865;424;243;267;56;23;4;4;9;14;43;81;:;221
Nord-Makedonia;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Polen;15425;13547;377;749;111;186;283;30;0;0;8;64;65;:;5
Portugal;4933;824;3982;0;0;36;1;4;10;1;43;1;27;:;5
Romania;247;173;0;10;47;3;4;0;0;0;0;0;9;:;0
Russland;227;179;0;0;0;0;48;0;0;0;0;0;0;:;0
San Marino;41;0;22;0;0;0;0;0;10;7;0;0;1;:;1
Serbia (2007-);140;140;0;0;0;0;0;0;0;0;0;0;0;:;0
Serbia og Montenegro (2004-2006);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slovakia;13;1;0;10;0;0;0;0;0;0;0;0;1;:;0
Slovenia;2;2;0;0;0;0;0;0;0;0;0;0;0;:;0
Sovjetunionen (-1992);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spania;7225;6668;350;34;2;11;14;0;17;2;3;2;71;:;51
Storbritannia;6968;4965;876;38;63;13;48;627;2;9;2;52;34;:;238
Sveits;390;331;40;0;0;0;3;0;0;0;0;2;1;:;12
Sverige;4477;3292;292;133;85;43;38;29;7;0;3;46;174;:;335
Sør-Georgia og Sør-Sandwichøyene (1999-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Tsjekkia;688;648;20;18;0;0;0;0;0;0;0;0;2;:;0
Tsjekkoslovakia (-1992);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tyrkia;854;486;1;8;225;66;42;0;0;0;1;0;7;:;18
Tyskland;4513;3759;151;363;18;62;68;4;1;0;5;12;45;:;26
Ukraina;1614;1114;6;73;60;0;308;1;0;0;9;1;27;:;16
Ungarn;7;3;0;0;0;0;0;0;0;0;0;0;4;:;0
Vatikanstaten;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Østerrike;112;111;0;1;0;0;0;0;0;0;0;0;0;:;0
Øst-Tyskland (DDR) (-1990);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Åland (2005-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
